SCHOOL CODE,DESIGN #,school name
000264,2171B8091,ST. MARYS SCHOOL 
000264,2171B8092,ST. MARYS SCHOOL 
000264,2171B8093,ST. MARYS SCHOOL 
000264,264A1,ST. MARYS SCHOOL 
000273,P273,NONE
000280,000000,MISSING
000282,2171B3270,ALLEN ACADEMY
000282,2171B3276,ALLEN ACADEMY
000282,2171B3277,ALLEN ACADEMY
000282,2171B3278,ALLEN ACADEMY
000282,2171B3286,ALLEN ACADEMY
000282,2171B3288,ALLEN ACADEMY
000282,2171B3566,ALLEN ACADEMY
000282,2171B3567,ALLEN ACADEMY
000282,2171B3568,ALLEN ACADEMY
000282,E282A1,ALLEN ACADEMY - TX-282
000282,E282A2,ALLEN ACADEMY - TX-282
000286,2171B1637,ST. PHILIP OF JESUS 
000286,2171B3541,ST. PHILIP OF JESUS 
000286,2171B8776,ST. PHILIP OF JESUS 
000287,E1403A2,LEGACY ELEMENTARY  - TX-287
000288,000000,MISSING
000288,E3161A1,INCARNATE WORD ELEMENTARY  - TX-288
000307,E-3098A1,Notre Dame Elementary
000320,000000,Immaculate Conception
000320,2171B1419,IMMACULATE CONCEPTION 
000320,2171B1420,IMMACULATE CONCEPTION 
000328,2171B8496,OUR LADY OF VICTORY 
000328,2171B8497,OUR LADY OF VICTORY 
000328,E328A1,OUR LADY OF VICTORY  - TX-328
000351,000000,St. Rita School
000351,E351B1,ST. RITA SCHOOL  - TX-351
000351,E351B2,ST. RITA SCHOOL  - TX-351
000360,2171B1658,CHRIST THE KING 
000360,2171B1659,CHRIST THE KING 
000360,2171B1660,CHRIST THE KING 
000360,2171B1661,CHRIST THE KING 
000360,2171B1662,CHRIST THE KING 
000360,2171B3584,CHRIST THE KING 
000360,2171B3595,CHRIST THE KING 
000360,2171B3678,CHRIST THE KING 
000360,2171B3679,CHRIST THE KING 
000360,2171B3680,CHRIST THE KING 
000360,2171B7922,CHRIST THE KING 
000360,2171B7923,CHRIST THE KING 
000360,2171B7924,CHRIST THE KING 
000360,2171B7925,CHRIST THE KING 
000360,2171B7926,CHRIST THE KING 
000360,S 360,CHRIST THE KING 
000362,2171B8810,WEST LITTLE YORK CHURCH OF GOD 
000362,2171B8811,WEST LITTLE YORK CHURCH OF GOD 
000362,ELM,WEST LITTLE YORK CHURCH OF GOD  - TX-362
000369,2171B3404,NOLAN HIGH SCHOOL 
000369,2171B3405,NOLAN HIGH SCHOOL 
000369,2171B3406,NOLAN HIGH SCHOOL 
000369,2171B8932,NOLAN HIGH SCHOOL 
000369,2171B8933,NOLAN HIGH SCHOOL 
000369,E369C1,NOLAN HIGH SCHOOL  - TX-369
000372,P372,NONE
000374,2171B1671,ST. CECILIA 
000374,2171B1672,ST. CECILIA 
000374,2171B7743,ST. CECILIA 
000374,2171B7744,ST. CECILIA 
000374,E374A1,ST. CECILIA  - TX-374
