display,*category_code,description,category_type,
Shirts,Shirts,,,
Pants,Pants,,,
Shorts,Shorts,,,
Jumpers,Jumpers,,,
Skirts,Skirts,,,
Skorts,Skorts,,,
Sweaters,Sweaters,,,
Blazers,Blazers,,,
Outerwear,Outerwear,,,
Activewear,Activewear,,,
Footwear,Footwear,,,
Accessories,Accessories,,,
Misc,Misc,,,
